,Company Name,Reviews,Rating,Salaries,Interviews,Jobs,Benifits
0,TCS,1.1L,3.3,9.9L,11.9k,3.1k,10.6k
1,Accenture,72k,3.7,6.5L,9.2k,38.5k,6.7k
2,Wipro,63.9k,3.6,4.8L,6.7k,5k,4.6k
3,Cognizant,60.3k,3.6,6L,6.3k,604,5.5k
4,Capgemini,52k,3.7,4.8L,5.5k,2.3k,3.7k
5,HDFC Bank,51.1k,3.8,1.5L,3k,357,3.2k
6,Infosys,47.8k,3.5,5.3L,8.4k,2.3k,4.8k
7,ICICI Bank,45.2k,4.0,1.5L,2.9k,15,3.7k
8,HCLTech,45k,3.4,3.8L,4.5k,293,3.8k
9,Tech Mahindra,42.6k,3.4,2.8L,4.5k,678,3.4k
10,Genpact,41.3k,3.6,2.3L,3.8k,1k,3.5k
11,Teleperformance,37.2k,3.8,96.1k,2.2k,1.5k,1.8k
12,Jio,33.3k,4.4,62.2k,4.2k,1,2.5k
13,Axis Bank,32.6k,3.6,1L,1.9k,201,2.1k
14,Concentrix Corporation,31.6k,3.6,1.3L,2k,63,3.1k
15,Amazon,30.9k,3.9,1.5L,5.8k,1.9k,3.6k
16,iEnergizer,27.2k,4.6,24.2k,1.3k,97,430
17,Reliance Retail,27.1k,3.9,75.9k,1.9k,144,1.8k
18,LTIMindtree,26k,3.6,1.9L,3.4k,517,777
19,IBM,25.4k,3.9,2.1L,2.6k,2.1k,2.6k
20,HDB Financial Services,25.3k,3.9,49.7k,1.1k,200,1.5k
21,Larsen & Toubro Limited,23.5k,3.9,75.1k,1.8k,194,2.5k
22,Deloitte,22.6k,3.7,2.5L,3.3k,1.6k,2.4k
23,Kotak Mahindra Bank,22k,3.6,87.2k,1.4k,164,1.3k
24,Reliance Industries,19.9k,4.0,73.2k,1.6k,123,1.8k
25,Vodafone Idea,17.5k,3.9,50k,676,56,2k
26,Bharti Airtel,16.9k,3.8,49.2k,1.1k,188,1.6k
27,BYJU'S,16.4k,3.2,54.2k,2.1k,1,1.7k
28,WNS,14.9k,3.3,69.6k,1.2k,121,1.3k
29,IDFC FIRST Bank,14.2k,3.9,49.4k,934,48,692
30,Ernst & Young,14.1k,3.4,1.4L,1.3k,5k,1.1k
31,Tata Motors,14k,4.1,42.7k,1.2k,163,1.6k
32,IndusInd Bank,14k,3.4,51.4k,762,87,796
33,AU Small Finance Bank,13.9k,3.9,29.5k,685,161,577
34,Bajaj Finserv,12.8k,4.0,30.3k,730,6,707
35,Muthoot FinCorp,12.8k,4.5,9k,2.3k,24,275
36,Flipkart,12.7k,3.9,54.8k,1.6k,159,1.4k
37,PwC,12.2k,3.3,1.2L,1.6k,1k,800
38,Mahindra & Mahindra,11.9k,4.0,40.1k,846,2,1.2k
39,Infosys BPM,11.8k,3.5,73.7k,1.1k,71,1.1k
40,DXC Technology,11.8k,3.6,72.9k,892,243,1.1k
41,HDFC Life,11.8k,3.9,32.7k,785,95,613
42,Bandhan Bank,10.8k,3.7,24.9k,744,46,517
43,Digitide Solutions,10.2k,3.5,26.4k,565,332,772
44,Mphasis,10.1k,3.3,73.8k,922,60,845
45,Yes Bank,10k,3.6,43.3k,550,194,608
46,Tata Steel,9.8k,4.0,34.1k,1.1k,--,659
47,Quess,9.6k,3.8,30.9k,537,41,440
48,Maruti Suzuki,9.4k,4.2,28.6k,774,774,1.1k
49,Asian Paints,9.4k,3.9,25.6k,844,67,884
50,Startek,9.3k,3.1,24.5k,628,178,681
51,UltraTech Cement,9.3k,4.1,24.4k,790,25,619
52,Paytm,9.2k,3.2,34.5k,886,838,582
53,Bajaj Finance,9k,3.9,22.5k,433,6.8k,502
54,Shriram Finance,9k,4.0,15.2k,444,17,21
55,Sutherland Global Services,8.8k,3.4,35.1k,785,235,901
56,Equitas Small Finance Bank,8.8k,4.4,13.3k,1k,27,397
57,Cipla,8.5k,4.1,26.4k,594,80,857
58,EXL Service,8.5k,3.6,44.2k,897,1.6k,799
59,Wells Fargo,8.4k,3.6,56.4k,682,166,855
60,Ericsson,8.3k,3.9,42.3k,471,34,998
61,Samsung,8.3k,3.9,26.3k,624,16,520
62,Dr. Reddy's,8.1k,4.0,25.8k,505,15,740
63,Optum Global Solutions,7.8k,4.0,49.3k,759,182,686
64,Delhivery,7.7k,3.8,21.4k,606,174,656
65,JPMorgan Chase & Co.,7.7k,3.8,87.7k,865,1.9k,845
66,ICICI Prudential Life Insurance,7.7k,3.9,22.9k,477,179,625
67,JSW Steel,7.7k,3.9,30.7k,808,115,602
68,HGS,7.5k,3.7,20.7k,274,33,968
69,Hexaware Technologies,7.5k,3.4,54.1k,822,443,547
70,Jana Small Finance Bank,7.5k,3.8,14.4k,306,39,623
71,Ujjivan Small Finance Bank,7.5k,4.0,13.2k,319,474,579
72,Sun Pharmaceutical Industries,7.5k,4.1,23.4k,663,367,594
73,Amazon Development Centre India,7.4k,3.8,38.6k,884,4,360
74,Lupin,7.3k,4.1,22.5k,442,18,764
75,Ekart Logistics,7.2k,3.9,16k,406,--,422
76,L&T Construction,7.2k,4.0,19.3k,946,--,929
77,Zydus Lifesciences,7.2k,3.9,20.1k,425,29,605
78,Hindustan Unilever,7.1k,4.2,20.1k,465,59,704
79,KPMG India,7.1k,3.4,65.9k,929,107,749
80,ITC,7k,3.9,24.5k,692,81,638
81,Axis Max Life Insurance,7k,4.0,19.8k,406,158,495
82,Megha Engineering & Infrastructures,6.8k,3.9,18.8k,564,55,539
83,Tata Projects,6.7k,4.2,22.5k,597,53,540
84,Coforge,6.6k,3.3,49.4k,711,194,273
85,Bajaj Life Insurance,6.5k,3.8,17.1k,443,80,474
86,L&T Technology Services,6.5k,3.1,43.1k,629,--,444
87,FIS,6.5k,3.8,38.6k,533,137,721
88,Cholamandalam Investment & Finance,6.5k,3.8,12.8k,282,32,293
89,Oracle,6.3k,3.5,63k,948,1.1k,617
90,Omega Healthcare,6.3k,3.8,26.7k,547,151,391
91,IIFL Finance,6.3k,4.0,13.8k,325,55,399
92,Muthoot Finance,6.3k,3.7,13k,350,126,325
93,JLL,6.2k,4.1,24.4k,482,447,539
94,Indian Army,6.2k,4.7,9.5k,204,--,728
95,eClerx,6.2k,3.1,32.3k,633,427,555
96,HCL Group,6.1k,3.5,39.5k,516,--,661
97,Virtusa Consulting Services,6k,3.7,57k,672,1.4k,318
98,DMart,6k,3.9,18.4k,548,214,470
99,Piramal Finance,6k,4.2,11.7k,293,9,445
100,HSBC Group,5.9k,3.9,43.5k,546,127,1.1k
101,Indiamart Intermesh,5.9k,3.5,20.8k,748,437,432
102,PolicyBazaar,5.9k,3.8,17.4k,628,665,231
103,SMFG India Credit,5.8k,3.9,11.1k,208,103,348
104,Access Healthcare,5.8k,3.7,28.7k,397,1.4k,347
105,Aurobindo Pharma,5.7k,4.0,20.6k,289,33,468
106,BigBasket,5.7k,3.9,19.2k,481,98,381
107,Siemens,5.7k,3.9,33.9k,506,59,632
108,Udaan,5.7k,3.9,15.6k,373,12,755
109,GlobalLogic,5.7k,3.5,40.9k,679,36,515
110,Manappuram Finance,5.7k,3.9,9.5k,222,7,260
111,Firstsource Solutions,5.7k,3.5,24.5k,362,155,570
112,ICICI Lombard General Insurance Company,5.6k,3.5,20.5k,356,195,366
113,Tata Capital,5.6k,4.0,16.2k,269,4.5k,257
114,Shapoorji Pallonji Group,5.6k,4.1,15.2k,425,80,632
115,Standard Chartered,5.6k,3.6,42k,322,--,305
116,UST,5.6k,3.7,39.8k,590,200,408
117,Apollo Hospitals,5.6k,4.1,16.7k,481,187,507
118,Mahindra Finance,5.6k,3.9,12.1k,219,584,507
119,Bosch Global Software Technologies,5.5k,3.7,40.4k,390,29,625
120,Ashok Leyland,5.5k,4.0,19k,323,2,642
